Country Name,Country Code,IT.NET.USER.P2,SE.PRM.ENRR,SE.SEC.ENRR,SE.XPD.TOTL.GD.ZS,SL.UEM.TOTL.ZS,SP.POP.TOTL
Afghanistan,AFG,5.733363541666666,107.45309925079337,52.435715198516846,3.334565003712972,8.322222285800514,30821035.555555556
Albania,ALB,51.18137071555556,104.57866001129159,91.13535404205322,3.53943991661072,14.866666687859423,2903827.777777778
Algeria,DZA,22.239502986666665,115.85840797424312,91.71449851989745,4.35424995422363,10.622222264607739,37639885.777777776
American Samoa,ASM,,,,,,55702.666666666664
Andorra,AND,86.86056241555555,,,3.005314282008579,,81584.44444444444
Angola,AGO,6.788888888888889,116.321029663086,26.556767463684075,3.47622990608215,6.211110962761776,25176043.0
Antigua and Barbuda,ATG,56.79777777777778,100.52645765032096,106.01917157854344,2.55447006225586,,96755.66666666667
Argentina,ARG,52.967383544444445,114.66747719900957,102.5387834821429,5.241195746830532,7.655555566151938,42105104.222222224
Armenia,ARM,37.07057595222222,102.82314809163427,92.61361694335939,2.9854024648666373,17.72222222222222,2897012.5555555555
Aruba,ABW,73.32040897777777,111.90065220424101,99.07715148925772,6.158524308885847,,102805.55555555556
Australia,AUS,80.07337469777778,105.42217350006112,133.87190464564742,5.111180033002581,5.433333184983998,22726163.555555556
Austria,AUT,78.90423168888888,101.03284740447987,99.03305912017821,5.566955702645439,5.144444465637207,8472370.444444444
Azerbaijan,AZE,55.32000189,98.69926357269281,,2.5820913996015284,5.299999978807238,9288592.888888888
"Bahamas, The",BHS,61.343133645555554,108.83166249593098,93.35369618733723,,13.322222285800516,371161.1111111111
Bahrain,BHR,77.43682461333333,97.7352798461914,95.15674877166754,2.550903987884522,1.2111111349529713,1285311.2222222222
Bangladesh,BGD,7.997437555555556,108.66958363850908,52.8246944972447,2.0304049849510197,4.255555523766413,155797512.2222222
Barbados,BRB,70.16882198777778,98.70420074462882,104.4963500976562,5.656686703364053,10.911111089918336,281405.6666666667
Belarus,BLR,46.71021571333333,101.35650825500498,107.63029956817624,5.006137030465261,0.6222222182485793,9488916.0
Belgium,BEL,79.11884294999999,103.902289390564,128.17580986022963,6.454123417536415,7.8888888888888875,11065807.888888888
